MV_1,MV_2,MV_3,MV_4,MV_5,MV_6,MV_7,MV_8,MV_9,MV_10,MV_11,t
1.0210986546744074,0.9981135935091958,0.9621666283417143,0.9603636048420602,0.9591277707835945,0.9576662754050101,0.9565140878919068,0.956784199904326,0.955829955516469,0.9546128597872182,0.954420628416493,0.0
1.0210986546744034,0.9981135935091878,0.9621666283416997,0.9603636048420456,0.9591277707835797,0.9576662754049955,0.9565140878918907,0.9567841999043097,0.9558299555164524,0.9546128597872005,0.9544206284164751,0.001
1.0210986546744034,0.9981135935091877,0.9621666283416995,0.9603636048420453,0.9591277707835796,0.9576662754049953,0.9565140878918904,0.9567841999043095,0.9558299555164523,0.9546128597872002,0.9544206284164748,0.002
1.0210986546744034,0.9981135935091877,0.9621666283416996,0.9603636048420455,0.9591277707835799,0.9576662754049954,0.9565140878918909,0.9567841999043097,0.9558299555164528,0.9546128597872002,0.9544206284164751,0.003
1.0210986546744034,0.9981135935091877,0.9621666283417,0.9603636048420457,0.9591277707835801,0.9576662754049956,0.9565140878918909,0.9567841999043099,0.9558299555164529,0.9546128597872005,0.9544206284164753,0.004
1.0210986546744034,0.9981135935091879,0.9621666283417002,0.9603636048420459,0.9591277707835806,0.957666275404996,0.9565140878918913,0.9567841999043103,0.9558299555164533,0.9546128597872008,0.9544206284164758,0.005
1.0210986546744036,0.9981135935091882,0.9621666283417006,0.9603636048420463,0.959127770783581,0.9576662754049965,0.9565140878918917,0.9567841999043107,0.9558299555164536,0.9546128597872013,0.9544206284164763,0.006
1.0210986546744036,0.9981135935091883,0.9621666283417009,0.9603636048420466,0.9591277707835812,0.9576662754049967,0.9565140878918921,0.9567841999043112,0.9558299555164539,0.9546128597872019,0.9544206284164768,0.007
1.0210986546744036,0.9981135935091885,0.9621666283417012,0.9603636048420469,0.9591277707835815,0.957666275404997,0.9565140878918925,0.9567841999043115,0.9558299555164541,0.9546128597872022,0.9544206284164772,0.008
1.0210986546744036,0.9981135935091886,0.9621666283417014,0.9603636048420471,0.9591277707835817,0.9576662754049973,0.9565140878918926,0.9567841999043118,0.9558299555164543,0.9546128597872028,0.9544206284164777,0.009
1.0210986546744036,0.9981135935091886,0.9621666283417016,0.9603636048420475,0.9591277707835817,0.9576662754049975,0.9565140878918929,0.956784199904312,0.9558299555164546,0.9546128597872031,0.9544206284164779,0.01
1.0210986546744036,0.9981135935091886,0.9621666283417016,0.9603636048420476,0.9591277707835817,0.9576662754049976,0.956514087891893,0.956784199904312,0.9558299555164547,0.9546128597872033,0.9544206284164779,0.011
1.0210986546744036,0.9981135935091886,0.9621666283417016,0.9603636048420477,0.9591277707835817,0.9576662754049976,0.956514087891893,0.956784199904312,0.9558299555164548,0.9546128597872034,0.9544206284164779,0.012
1.0210986546744036,0.9981135935091886,0.9621666283417015,0.9603636048420479,0.9591277707835816,0.9576662754049976,0.956514087891893,0.9567841999043118,0.9558299555164548,0.9546128597872034,0.9544206284164779,0.013
1.0210986546744036,0.9981135935091887,0.9621666283417015,0.960363604842048,0.9591277707835816,0.9576662754049976,0.956514087891893,0.9567841999043118,0.955829955516455,0.9546128597872036,0.9544206284164779,0.014
1.0210986546744036,0.9981135935091887,0.9621666283417015,0.9603636048420482,0.9591277707835816,0.9576662754049976,0.9565140878918932,0.9567841999043116,0.955829955516455,0.9546128597872038,0.9544206284164779,0.015
1.0210986546744036,0.9981135935091886,0.9621666283417014,0.9603636048420482,0.9591277707835814,0.9576662754049976,0.956514087891893,0.9567841999043116,0.955829955516455,0.9546128597872039,0.9544206284164779,0.016
1.0210986546744036,0.9981135935091887,0.9621666283417014,0.9603636048420483,0.9591277707835815,0.9576662754049975,0.9565140878918931,0.9567841999043116,0.955829955516455,0.954612859787204,0.9544206284164779,0.017
1.0210986546744036,0.9981135935091887,0.9621666283417013,0.9603636048420484,0.9591277707835814,0.9576662754049976,0.956514087891893,0.9567841999043115,0.9558299555164551,0.954612859787204,0.9544206284164779,0.018
1.0210986546744036,0.9981135935091887,0.9621666283417013,0.9603636048420484,0.9591277707835811,0.9576662754049975,0.956514087891893,0.9567841999043113,0.9558299555164551,0.9546128597872041,0.9544206284164778,0.019
1.0210986546744036,0.9981135935091887,0.9621666283417013,0.9603636048420484,0.9591277707835812,0.9576662754049975,0.9565140878918931,0.9567841999043112,0.9558299555164551,0.9546128597872042,0.9544206284164778,0.02
1.0210986546744034,0.9981135935091886,0.9621666283417012,0.9603636048420484,0.9591277707835811,0.9576662754049973,0.9565140878918929,0.9567841999043112,0.955829955516455,0.9546128597872042,0.9544206284164777,0.021
1.0210986546744034,0.9981135935091886,0.9621666283417012,0.9603636048420483,0.959127770783581,0.9576662754049974,0.9565140878918929,0.9567841999043111,0.9558299555164551,0.9546128597872043,0.9544206284164776,0.022
1.0210986546744036,0.9981135935091886,0.9621666283417012,0.9603636048420485,0.959127770783581,0.9576662754049976,0.956514087891893,0.9567841999043112,0.9558299555164552,0.9546128597872043,0.9544206284164776,0.023
1.0210986546744034,0.9981135935091885,0.9621666283417011,0.9603636048420485,0.959127770783581,0.9576662754049974,0.9565140878918929,0.9567841999043111,0.9558299555164551,0.9546128597872043,0.9544206284164775,0.024
